"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","TYPE_OF_TRANSFORMATION","FREQUENCY","SCALE","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"IMF.STA:FAS(4.0.0)","SSD.FA57.NUM.A","OBS_VALUE","South Sudan, Republic of","Registered mobile money agent outlets","Number","Annual","Units","","","","","","","","","","","","","","34445"
"IMF.STA:FAS(4.0.0)","SSD.FA26N.PTKM2_NUM.A","OBS_VALUE","South Sudan, Republic of","Number of commercial bank branches","Per 1,000 square km","Annual","Units","0.06646305761714114","0.08703495640339911","0.1376734764926495","0.1819821815707436","0.1582453752789075","0.1629927365372747","0.1455857452565949","0.1392559302454386","0.1440032915038058","0.1503331065149621","0.147168199009384","0.1534980140205402","0.1582453752789075","0.1962242653458453"
"IMF.STA:FAS(4.0.0)","NGA.FA57.NUM.A","OBS_VALUE","Nigeria","Registered mobile money agent outlets","Number","Annual","Units","","28083","33558","19774","21086","13877","11226","41411","145800","129154","10297655","22883322","",""
"IMF.STA:FAS(4.0.0)","MWI.FA66.NUM.A","OBS_VALUE","Malawi","Mobile money transactions (during the reference year)","Number","Annual","Units","","480343","12008212","","","87296997","128432471","185092020","276078116","433773953","","1002381234","1316144808","1847485654.5"
"IMF.STA:FAS(4.0.0)","MWI.FA57.NUM.A","OBS_VALUE","Malawi","Registered mobile money agent outlets","Number","Annual","Units","","3847","13091","","","24426","30929","39434","52200","80642","","243857","331317","491591"
"IMF.STA:FAS(4.0.0)","EGY.FA26N.PHTADLT_NUM.A","OBS_VALUE","Egypt, Arab Republic of","Number of commercial bank branches","Per 100,000 adults","Annual","Units","4.649148444518931","4.59469262180525","4.575642560614154","4.5665675609426","4.623648209034827","4.744948402718768","4.880638606954775","4.996794517879899","6.65390317462651","6.760889699945797","6.792708534155424","6.64966544645472","6.58215086390207","6.564351114438116"
"IMF.STA:FAS(4.0.0)","MWI.FA63.NUM.A","OBS_VALUE","Malawi","Active mobile money accounts","Number","Annual","Units","","55090","310602","","","1266589","1494884","2458421","3744653","5479452","","7060059","8099749","9540460"
"IMF.STA:FAS(4.0.0)","EGY.FA57.NUM.A","OBS_VALUE","Egypt, Arab Republic of","Registered mobile money agent outlets","Number","Annual","Units","","","","","","","","","351783","658629","700000","753350","819514","906311"
"IMF.STA:FAS(4.0.0)","EGY.FA66.NUM.A","OBS_VALUE","Egypt, Arab Republic of","Mobile money transactions (during the reference year)","Number","Annual","Units","","","","","","11200000","15000000","24000000","47000000","115677754","257792044","513048453","1023545594","1918285139"
"IMF.STA:FAS(4.0.0)","MWI.FA26N.PTKM2_NUM.A","OBS_VALUE","Malawi","Number of commercial bank branches","Per 1,000 square km","Annual","Units","0.9333899024183284","2.959270258803564","3.044123886296139","3.128977513788714","3.288078065337293","3.022910479422995","2.312261349172677","2.471361900721256","2.535002121340687","2.397114976665252","2.397114976665252","2.397114976665252","2.227407721680102","2.322868052609249"
